,name,language,size,total
0,libdc,C,1349401,1377264
1,libdc,M4,21762,1377264
2,libdc,Makefile,5001,1377264
3,libdc,C++,1100,1377264
4,linux,C,697445220,724561030
5,linux,Assembly,10707265,724561030
6,linux,C++,9722452,724561030
7,linux,Objective-C,2286092,724561030
8,linux,Makefile,1908819,724561030
9,linux,Perl,743841,724561030
10,linux,Shell,611510,724561030
11,linux,Python,585014,724561030
12,linux,Roff,125512,724561030
13,linux,Yacc,119490,724561030
14,linux,Perl 6,100718,724561030
15,linux,Lex,58626,724561030
16,linux,Awk,49246,724561030
17,linux,Prolog,48140,724561030
18,linux,GDB,18113,724561030
19,linux,UnrealScript,17261,724561030
20,linux,Gherkin,7710,724561030
21,linux,M4,3325,724561030
22,linux,Clojure,1437,724561030
23,linux,XS,1239,724561030
24,pesconvert,C,12452,13007
25,pesconvert,Makefile,555,13007
26,subsurface,C++,1640739,3194141
27,subsurface,C,953171,3194141
28,subsurface,XSLT,256119,3194141
29,subsurface,Shell,93032,3194141
30,subsurface,QML,77064,3194141
31,subsurface,CMake,57406,3194141
32,subsurface,JavaScript,40793,3194141
33,subsurface,HTML,34030,3194141
34,subsurface,CSS,12885,3194141
35,subsurface,Perl,9881,3194141
36,subsurface,QMake,9497,3194141
37,subsurface,R,4070,3194141
38,subsurface,Makefile,3446,3194141
39,subsurface,TeX,1671,3194141
40,subsurface,Objective-C,337,3194141
41,testtlb,C,5816,6238
42,testtlb,Makefile,422,6238
43,uemacs,C,456193,461748
44,uemacs,Makefile,4611,461748
45,uemacs,Batchfile,944,461748
