,total,owner,others
51,125,23,102
50,266,30,236
49,516,67,449
48,715,124,591
47,777,16,761
46,1161,34,1127
45,1433,34,1399
44,995,35,960
43,589,16,573
42,1368,30,1338
41,1331,39,1292
40,1512,43,1469
39,1444,37,1407
38,995,30,965
37,1527,142,1385
36,1645,25,1620
35,1796,31,1765
34,1340,45,1295
33,1836,22,1814
32,1920,37,1883
31,1343,45,1298
30,1452,38,1414
29,1455,35,1420
28,1034,65,969
27,1392,111,1281
26,1720,33,1687
25,1908,41,1867
24,1889,28,1861
23,1679,29,1650
22,1651,32,1619
21,1481,29,1452
20,1682,38,1644
19,1490,82,1408
18,1458,128,1330
17,1525,25,1500
16,1643,35,1608
15,1590,40,1550
14,1935,33,1902
13,1392,30,1362
12,1535,35,1500
11,1654,29,1625
10,1356,74,1282
9,1329,102,1227
8,1319,18,1301
7,1473,28,1445
6,1482,32,1450
5,1776,37,1739
4,1709,33,1676
3,1687,32,1655
2,1611,33,1578
1,1589,38,1551
0,1458,64,1394
