index,day,hour,commits
0,Sunday,0,14
1,Sunday,1,33
2,Sunday,2,20
3,Sunday,3,6
4,Sunday,4,3
5,Sunday,5,10
6,Sunday,6,7
7,Sunday,7,3
8,Sunday,8,30
9,Sunday,9,35
10,Sunday,10,58
11,Sunday,11,84
12,Sunday,12,102
13,Sunday,13,86
14,Sunday,14,45
15,Sunday,15,79
16,Sunday,16,52
17,Sunday,17,59
18,Sunday,18,88
19,Sunday,19,29
20,Sunday,20,43
21,Sunday,21,38
22,Sunday,22,50
23,Sunday,23,53
24,Monday,0,45
25,Monday,1,30
26,Monday,2,20
27,Monday,3,11
28,Monday,4,2
29,Monday,5,27
30,Monday,6,53
31,Monday,7,37
32,Monday,8,63
33,Monday,9,133
34,Monday,10,366
35,Monday,11,337
36,Monday,12,205
37,Monday,13,184
38,Monday,14,284
39,Monday,15,362
40,Monday,16,283
41,Monday,17,200
42,Monday,18,183
43,Monday,19,129
44,Monday,20,110
45,Monday,21,140
46,Monday,22,139
47,Monday,23,75
48,Tuesday,0,84
49,Tuesday,1,60
50,Tuesday,2,39
51,Tuesday,3,25
52,Tuesday,4,31
53,Tuesday,5,16
54,Tuesday,6,42
55,Tuesday,7,62
56,Tuesday,8,101
57,Tuesday,9,178
58,Tuesday,10,223
59,Tuesday,11,276
60,Tuesday,12,243
61,Tuesday,13,229
62,Tuesday,14,367
63,Tuesday,15,550
64,Tuesday,16,346
65,Tuesday,17,243
66,Tuesday,18,208
67,Tuesday,19,160
68,Tuesday,20,107
69,Tuesday,21,149
70,Tuesday,22,105
71,Tuesday,23,85
72,Wednesday,0,61
73,Wednesday,1,48
74,Wednesday,2,20
75,Wednesday,3,204
76,Wednesday,4,22
77,Wednesday,5,19
78,Wednesday,6,22
79,Wednesday,7,32
80,Wednesday,8,104
81,Wednesday,9,168
82,Wednesday,10,239
83,Wednesday,11,289
84,Wednesday,12,263
85,Wednesday,13,189
86,Wednesday,14,307
87,Wednesday,15,294
88,Wednesday,16,474
89,Wednesday,17,440
90,Wednesday,18,177
91,Wednesday,19,123
92,Wednesday,20,100
93,Wednesday,21,87
94,Wednesday,22,103
95,Wednesday,23,70
96,Thursday,0,47
97,Thursday,1,44
98,Thursday,2,28
99,Thursday,3,8
100,Thursday,4,24
101,Thursday,5,11
102,Thursday,6,14
103,Thursday,7,28
104,Thursday,8,62
105,Thursday,9,172
106,Thursday,10,238
107,Thursday,11,362
108,Thursday,12,266
109,Thursday,13,232
110,Thursday,14,292
111,Thursday,15,310
112,Thursday,16,275
113,Thursday,17,313
114,Thursday,18,211
115,Thursday,19,124
116,Thursday,20,122
117,Thursday,21,173
118,Thursday,22,104
119,Thursday,23,89
120,Friday,0,60
121,Friday,1,55
122,Friday,2,21
123,Friday,3,21
124,Friday,4,36
125,Friday,5,24
126,Friday,6,17
127,Friday,7,71
128,Friday,8,100
129,Friday,9,171
130,Friday,10,238
131,Friday,11,230
132,Friday,12,243
133,Friday,13,236
134,Friday,14,281
135,Friday,15,462
136,Friday,16,319
137,Friday,17,252
138,Friday,18,105
139,Friday,19,134
140,Friday,20,59
141,Friday,21,115
142,Friday,22,70
143,Friday,23,83
144,Saturday,0,36
145,Saturday,1,77
146,Saturday,2,11
147,Saturday,3,8
148,Saturday,4,14
149,Saturday,5,6
150,Saturday,6,12
151,Saturday,7,12
152,Saturday,8,22
153,Saturday,9,24
154,Saturday,10,46
155,Saturday,11,35
156,Saturday,12,37
157,Saturday,13,25
158,Saturday,14,31
159,Saturday,15,38
160,Saturday,16,52
161,Saturday,17,59
162,Saturday,18,32
163,Saturday,19,58
164,Saturday,20,30
165,Saturday,21,64
166,Saturday,22,63
167,Saturday,23,27
